time_tag,bx_gsm,by_gsm,bz_gsm,lon_gsm,lat_gsm,bt
2026-02-27 03:46:00+00,2.02,-0.36,-3.29,350.01,-58.13,3.88
2026-02-27 03:45:00+00,2.01,0.58,-3.33,16.11,-57.81,3.93
2026-02-27 03:44:00+00,1.91,0.94,-3.25,26.13,-56.86,3.89
2026-02-27 03:43:00+00,1.96,0.85,-3.4,23.51,-57.93,4.02
2026-02-27 03:42:00+00,2.12,0.3,-3.34,7.92,-57.31,3.96
2026-02-27 03:41:00+00,1.83,-0.76,-3.46,337.49,-60.2,3.99
2026-02-27 03:40:00+00,1.97,-0.93,-3.31,334.73,-56.61,3.96
2026-02-27 03:39:00+00,2.07,-1.14,-3.15,331.18,-53.15,3.93
2026-02-27 03:38:00+00,2.38,-1.48,-2.68,328.07,-43.68,3.88
2026-02-27 03:37:00+00,2.62,-1.87,-1.99,324.44,-31.71,3.78
2026-02-27 03:36:00+00,2.77,-1.83,-1.92,326.52,-30.09,3.84
2026-02-27 03:35:00+00,2.8,-1.8,-1.84,327.27,-28.93,3.8
2026-02-27 03:34:00+00,2.75,-2.13,-1.61,322.31,-24.83,3.83
2026-02-27 03:33:00+00,2.93,-2.14,-1.1,323.91,-16.81,3.79
2026-02-27 03:32:00+00,2.9,-2.11,-1.31,323.98,-20.08,3.82
2026-02-27 03:31:00+00,2.97,-2.22,-1.43,323.24,-21.01,3.98
2026-02-27 03:30:00+00,3.03,-2.32,-1.16,322.55,-16.98,3.99
2026-02-27 03:29:00+00,3.02,-1.69,-1.64,330.73,-25.28,3.83
2026-02-27 03:28:00+00,2.83,-1.42,-2.05,333.37,-32.9,3.77
2026-02-27 03:27:00+00,2.52,-1.12,-2.59,335.96,-43.14,3.78
2026-02-27 03:26:00+00,2.4,-2.02,-2.31,319.95,-36.35,3.89
2026-02-27 03:25:00+00,2.26,-2.16,-2.41,316.26,-37.69,3.95
2026-02-27 03:24:00+00,2.51,-1.56,-2.39,328.2,-38.91,3.8
2026-02-27 03:23:00+00,2.3,-2.54,-2.01,312.15,-30.3,3.97
2026-02-27 03:22:00+00,2,-3.18,-1.66,302.14,-23.84,4.1
2026-02-27 03:21:00+00,2.66,-2.32,-1.86,318.95,-27.82,3.99
2026-02-27 03:20:00+00,2.49,-2.89,-1.53,310.7,-21.91,4.11
2026-02-27 03:19:00+00,2.23,-3.16,-1.46,305.25,-20.67,4.13
2026-02-27 03:18:00+00,2.2,-3.03,-1.61,305.98,-23.33,4.07
2026-02-27 03:17:00+00,1.79,-2.69,-2.41,303.6,-36.78,4.03
2026-02-27 03:16:00+00,1.88,-2.4,-2.53,308.03,-39.65,3.96
2026-02-27 03:15:00+00,2.04,-3.45,-1.28,300.6,-17.68,4.21
2026-02-27 03:14:00+00,1.87,-1.6,-2.68,319.56,-47.42,3.64
2026-02-27 03:13:00+00,1.46,-0.64,-3.62,336.23,-66.21,3.96
2026-02-27 03:12:00+00,0.97,-0.18,-3.92,349.42,-75.8,4.04
2026-02-27 03:11:00+00,1.76,-1.33,-3.25,323,-55.81,3.92
2026-02-27 03:10:00+00,1.95,-0.93,-3.22,334.48,-56.11,3.88
2026-02-27 03:09:00+00,1.88,-1.77,-2.77,316.79,-47.04,3.79
2026-02-27 03:08:00+00,1.82,-2.21,-2.11,309.49,-36.38,3.56
2026-02-27 03:07:00+00,1.74,-2.98,-1.31,300.32,-20.75,3.7
2026-02-27 03:06:00+00,2.28,-2.23,-1.09,315.63,-18.94,3.37
2026-02-27 03:05:00+00,2.19,-2.52,-1.07,310.93,-17.82,3.51
2026-02-27 03:04:00+00,2.27,-3.05,0.53,306.71,7.86,3.84
2026-02-27 03:03:00+00,2.64,-2.79,0.3,313.37,4.54,3.85
2026-02-27 03:02:00+00,2.59,-2.89,0.08,311.85,1.16,3.88
2026-02-27 03:01:00+00,2.65,-2.67,-0.52,314.84,-7.89,3.8
2026-02-27 03:00:00+00,3.02,-1.59,-1.29,332.3,-20.67,3.65
2026-02-27 02:59:00+00,3.33,-1.54,-0.4,335.11,-6.15,3.69
2026-02-27 02:58:00+00,3.45,-1.24,-0.09,340.17,-1.38,3.66
2026-02-27 02:57:00+00,3.31,-0.44,-1.48,352.43,-23.81,3.65
2026-02-27 02:56:00+00,2.65,-1.96,-1.99,323.42,-31.11,3.85
2026-02-27 02:55:00+00,2.8,-1.76,-1.79,327.82,-28.34,3.76
2026-02-27 02:54:00+00,2.73,-1.24,-2.3,335.61,-37.53,3.78
2026-02-27 02:53:00+00,2.78,-1.62,-2.18,329.77,-34.15,3.89
2026-02-27 02:52:00+00,2.92,-1.78,-1.6,328.6,-25.05,3.78
2026-02-27 02:51:00+00,2.79,-2.29,-1.25,320.6,-19.07,3.83
2026-02-27 02:50:00+00,2.28,-2.7,-1.7,310.19,-25.63,3.92
2026-02-27 02:49:00+00,1.99,-3.46,0,299.87,0.01,3.99
2026-02-27 02:48:00+00,2.03,-1.77,-1.5,318.93,-29.14,3.09
2026-02-27 02:47:00+00,2.61,-0.91,-1.73,340.71,-32.09,3.27
2026-02-27 02:46:00+00,2.84,-0.79,-1.34,344.4,-24.46,3.24
2026-02-27 02:45:00+00,3.21,-0.41,0.9,352.8,15.61,3.36
2026-02-27 02:44:00+00,2.75,-1.96,0.98,324.52,16.24,3.51
2026-02-27 02:43:00+00,3.07,-2,-0.6,326.92,-9.26,3.71
2026-02-27 02:42:00+00,3.2,-1.42,-1.13,336.05,-17.87,3.67
2026-02-27 02:41:00+00,3.1,-1.42,-1.27,335.33,-20.36,3.64
2026-02-27 02:40:00+00,2.56,-2.92,0.14,311.21,2.11,3.89
2026-02-27 02:39:00+00,2.82,-2.49,-1.12,318.51,-16.56,3.93
2026-02-27 02:38:00+00,2.9,-1.73,-1,329.16,-16.56,3.52
2026-02-27 02:37:00+00,1.75,-3.65,0.08,295.58,1.12,4.05
2026-02-27 02:36:00+00,2.36,-2.84,0.84,309.75,12.77,3.78
2026-02-27 02:35:00+00,1.6,-2.28,0.82,305.17,16.38,2.9
2026-02-27 02:34:00+00,1.62,-1.89,-0.52,310.62,-11.75,2.55
2026-02-27 02:33:00+00,1.78,-1.03,-2.66,329.93,-52.3,3.37
2026-02-27 02:32:00+00,1.89,-0.79,1.7,337.25,39.7,2.67
2026-02-27 02:31:00+00,1.65,-2.03,-3.16,309.07,-50.35,4.11
2026-02-27 02:30:00+00,1.76,-2.39,-2.85,306.34,-43.76,4.12
2026-02-27 02:29:00+00,1.45,-3.18,-2.47,294.5,-35.26,4.27
2026-02-27 02:28:00+00,1.26,-3.2,-2.5,291.48,-36.02,4.25
2026-02-27 02:27:00+00,1.55,-3.16,-2.45,296.08,-34.89,4.29
2026-02-27 02:26:00+00,1.66,-3.17,-2.28,297.59,-32.53,4.25
2026-02-27 02:25:00+00,1.36,-3.18,-2.51,293.22,-36.01,4.27
2026-02-27 02:24:00+00,1.87,-2.74,0.45,304.29,7.73,3.35
2026-02-27 02:23:00+00,2.49,-2.92,1.57,310.47,22.25,4.15
2026-02-27 02:22:00+00,1.86,-3.19,2.3,300.25,31.95,4.35
2026-02-27 02:21:00+00,1.42,-3.11,2.13,294.53,31.96,4.03
2026-02-27 02:20:00+00,1.37,-1.13,3.51,320.26,63.19,3.94
2026-02-27 02:19:00+00,1.82,-0.18,2.18,354.45,49.98,2.85
2026-02-27 02:18:00+00,2.49,-2.09,-0.08,320.05,-1.34,3.25
2026-02-27 02:17:00+00,2.74,-0.02,-2.32,359.53,-40.24,3.59
2026-02-27 02:16:00+00,3.29,-1.05,-1.09,342.3,-17.57,3.62
2026-02-27 02:15:00+00,3.31,-1.8,-0.66,331.39,-9.98,3.83
2026-02-27 02:14:00+00,3.05,-1.57,-1.65,332.81,-25.72,3.81
2026-02-27 02:13:00+00,2.83,-1.34,-2.19,334.73,-34.97,3.82
2026-02-27 02:12:00+00,3.04,-2.14,-1.15,324.91,-17.24,3.89
2026-02-27 02:11:00+00,3.16,-1.85,-0.56,329.59,-8.69,3.7
2026-02-27 02:10:00+00,3.08,-1.67,1.99,331.54,29.6,4.03
2026-02-27 02:09:00+00,3.4,-1.76,0.9,332.61,13.22,3.93
2026-02-27 02:08:00+00,3.16,-0.83,2.21,345.33,34.12,3.95
2026-02-27 02:07:00+00,3.46,-1.16,1.49,341.43,22.22,3.94
